title,description,eligibility,last_date,image
"Senior Citizen Travel Concession (MSRTC)","50% travel discount for passengers aged 65-75 years","Senior citizens aged 65-75 years","Ongoing","seniorconcession.jpg"
"Maharashtra Emergency Medical Services Scheme","Operational ambulances for emergency medical services","All citizens of Maharashtra","Ongoing","mems.jpg"
"Textile Power Subsidy Cluster Scheme","₹3.00/unit power subsidy for private spinning mills under cluster","Textile spinning mills in Maharashtra clusters","Ongoing","textilesubsidy.jpg"
"Industrial Promotion Subsidy (IPS)","Subsidy for industrial units to promote investment & employment","MSMEs & large industries in Maharashtra (MIDC areas)","Ongoing","ips.jpg"
"Post-Matric Scholarship for SC/ST/OBC","Reimbursement of education fees & examination fees for SC/ST/OBC students","SC/ST/OBC students of Maharashtra","Ongoing","postmatric.jpg"
"Indira Gandhi National Old Age Pension Scheme","Monthly pension for BPL senior citizens aged 60+ years","BPL senior citizens aged 60+ years","Ongoing","ignoaps.jpg"
"Indira Gandhi National Widow Pension Scheme","Monthly pension for BPL widows","BPL widows","Ongoing","ignwps.jpg"
"National Handloom Development Programme","Comprehensive support for handloom weavers including yarn supply & marketing","Handloom weavers & cooperatives","Ongoing","handloom.jpg"
"Raw Material Supply Scheme (RMSS)","Supply of raw materials to handloom weavers at subsidised rates","Handloom weavers","Ongoing","rmss.jpg"
"National Handicraft Development Programme","End-to-end support for handicraft artisans including design & marketing","Handicraft artisans & clusters","Ongoing","handicraft.jpg"
"Comprehensive Handicrafts Cluster Development Scheme (CHCDS)","Cluster-based development for handicraft artisans","Handicraft clusters","Ongoing","chcds.jpg"
"Coir Vikas Yojana","Promotes coir sector through skill development, technology & marketing","Coir artisans, entrepreneurs, cooperatives","Ongoing","coir.jpg"
"PM-DevINE Scheme","Infrastructure & social development projects for North Eastern Region","NER states, youth & women of NER","Ongoing","pmdevine.jpg"
"PM-AASHA Scheme","Price support & procurement for farmers to ensure remunerative prices","All farmers growing notified crops","2026-03-31","pmaasha.jpg"
"Venture Capital Fund for Scheduled Castes (VCF-SC)","Concessional finance (₹10 lakh–₹5 crore) for SC entrepreneurs","SC entrepreneurs & startups","Ongoing","vcfsc.jpg"
"Adivasi Shiksha Rrinn Yojana","Education loan up to ₹10 lakh @ 6% p.a. for ST students pursuing professional/technical education","ST students for professional/technical education in India","Ongoing","asry.jpg"
"Science Stream Scholarship Scheme","12,000 scholarships per year @ ₹0.80 lakh/year for B.Sc/M.Sc in natural/basic sciences","Students aged 17-22 years in natural/basic sciences","Ongoing","sci-scholar.jpg"
"Garima Greh","Shelter, food, medical care & rehabilitation for destitute/abandoned transgender persons","Destitute & abandoned transgender persons","Ongoing","garima.jpg"
"Gharaunda (Group Home for Adults)","Group homes for adults with disabilities covered under National Trust Act","Adults with disabilities (PwDs)","Ongoing","gharaunda.jpg"
